이용개월,연령,결혼,소득,교육,성별,가족수,최근구매금액,총구매금액,메일링
37,40,1,26,2,0,5,18.9,653.15,1
45,30,1,38,2,0,6,12.75,622.15,0
71,70,0,153,3,1,1,30.55,2291.1,0
35,40,0,49,1,1,1,3.4,107.85,0
44,41,0,51,3,0,1,4.95,203.65,1
44,45,1,88,1,0,2,11.9,524.25,0
26,41,1,19,1,1,6,5.45,165.4,0
42,46,1,31,1,1,3,5.9,277.65,0
41,47,1,90,2,0,3,6.7,251.35,0
31,24,1,14,1,0,4,7.2,231.75,0
62,63,0,341,2,0,1,14.6,912.4,0
12,23,1,24,4,1,8,3.2,35.5,0
45,49,1,81,2,1,4,13.85,583.1,0
47,34,1,63,2,1,4,18.95,880.75,0
23,22,1,27,1,0,5,7.9,210.85,0
39,34,0,20,5,1,1,9.55,375.4,1
19,26,0,48,3,0,2,7.55,156.15,0
13,54,0,121,4,0,1,7.3,102.4,0
5,33,0,39,3,0,3,2.1,5.2,1
11,19,0,21,2,0,1,3.6,35.4,1
4,32,0,53,4,0,1,7,29.2,1
17,42,0,58,1,0,1,5.05,85.05,0
7,27,0,39,3,0,1,3.55,19.7,0
19,65,0,108,1,0,3,5.95,117.55,0
32,34,1,38,1,0,4,7.35,217.45,1
53,51,0,245,4,0,1,18.45,961.75,0
51,38,0,51,1,1,1,11.7,577.1,0
35,34,0,78,4,1,1,13.9,556.2,0
3,31,1,23,4,0,5,2.8,8.2,1
22,48,0,88,4,0,1,4.5,92.65,0
17,21,1,25,2,1,3,6.1,89.6,1
68,39,0,73,2,1,1,44.95,3002.2,0
27,41,1,62,4,1,2,13.7,371.35,0
68,52,1,456,3,1,4,22.25,1549.95,0
56,42,1,24,2,0,2,33.65,1871.2,0
11,32,0,23,2,1,1,6.2,82.6,1
5,47,0,46,1,1,1,2.95,21.55,0
16,50,0,263,2,1,3,3.75,59.75,1
59,30,0,34,4,1,1,16.7,1020.35,0
60,64,0,33,2,0,1,30.75,1829.4,1
55,47,0,37,1,0,1,14.75,786.2,0
18,56,0,296,2,0,1,3.4,49.7,0
16,22,0,26,3,1,3,4.1,64.95,1
35,57,1,47,4,0,2,7.25,263.55,0
31,23,1,31,3,1,2,16.6,520.4,1
20,49,1,264,2,1,2,9.6,159.2,0
16,27,0,41,4,1,1,6.9,100.9,1
69,48,1,55,2,0,2,19.6,1411.7,0
69,66,1,49,2,0,2,23.1,1566.8,0
27,24,1,26,1,1,4,6.05,137.7,0
48,39,0,110,4,0,1,18.05,812.65,0
18,52,1,66,1,1,2,12.8,204.95,0
24,40,1,39,3,1,2,4.05,117.05,0
17,42,0,31,2,0,1,8.25,140.85,1
9,24,1,26,4,1,3,7.65,75.25,0
15,46,0,232,4,1,2,4.3,41.35,1
62,37,1,43,4,1,3,9.2,539.65,0
9,41,0,39,4,0,1,4.7,26.3,1
71,41,1,73,2,1,2,32.65,2412.6,0
62,59,1,74,1,0,2,16.1,972,0
20,38,0,237,4,0,1,6,164.2,0
19,33,1,22,1,0,5,3.95,79.6,0
49,61,1,21,1,0,2,15.85,757.4,0
3,64,0,9,2,0,1,4.95,14.8,0
33,36,0,41,5,0,1,4.15,93.25,1
38,44,0,50,4,1,1,7.15,277.5,1
42,48,1,27,3,1,3,16.5,692.2,1
11,26,0,53,3,0,1,4.15,34.7,1
27,28,1,58,3,0,2,5.8,163.65,0
23,50,0,151,4,1,1,8.25,186.5,0
4,38,1,54,2,0,2,4.75,21.75,0
36,42,0,31,1,1,1,10.05,373.75,0
37,42,0,115,1,1,1,15.1,494.45,0
24,58,1,24,1,0,2,7.65,177.4,0
4,24,0,17,2,0,3,3.2,9.9,0
54,33,0,47,2,1,2,13.9,732.2,0
7,49,0,36,1,1,1,8.85,77,0
10,28,0,75,4,0,1,6.2,45.95,1
24,35,1,41,5,1,2,3.3,88.65,1
12,31,0,18,4,0,1,3.7,48.55,1
45,54,0,171,3,1,1,9.05,385.2,0
59,55,1,42,3,1,2,8.95,492.35,0
3,21,1,36,3,1,4,3.2,13.55,0
8,35,0,31,5,0,1,4.4,34.65,1
16,59,0,207,2,1,2,7.45,112.8,1
32,33,0,38,1,1,1,7.3,231.45,0
8,49,0,134,4,1,1,3,36.2,1
9,28,1,28,3,0,3,4.5,36.45,1
12,19,1,15,2,1,4,5.85,102.45,0
24,43,1,48,4,0,6,14.4,339.55,1
72,75,0,14,2,1,1,37.3,2686.25,0
58,61,0,101,4,1,1,16.35,956.85,0
70,44,1,87,2,0,3,18.9,1399.3,0
9,25,0,27,1,1,1,12.2,121.75,0
49,25,0,27,5,1,1,9.9,496.95,1
52,54,0,59,3,0,1,15.25,800.25,0
10,42,1,294,4,1,6,4.85,32.75,1
14,52,1,44,3,0,2,4.85,68.95,0
19,27,1,35,2,0,6,5.4,116.2,0
12,36,1,205,4,1,4,5.95,53.75,1
65,59,0,732,3,1,1,10.15,600.5,1
67,40,1,59,3,0,2,27,1722.5,0
29,24,1,23,1,0,2,10.2,319.65,0
55,46,0,87,2,1,1,17.9,982.9,1
71,67,1,110,1,1,2,33.85,2255.65,0
5,44,1,83,3,1,3,4,32,0
60,58,0,63,4,1,3,16.35,1012.55,1
10,40,0,22,3,1,1,5.05,59.95,0
52,64,0,43,3,0,1,12.85,647.95,0
61,43,1,35,2,0,3,21.05,1264,1
61,29,1,48,2,0,4,17.55,1035.95,0
67,47,1,69,3,0,3,49.35,3235.55,0
41,42,1,26,4,0,4,10.95,482.4,0
30,28,0,20,1,1,1,12.4,369.45,0
24,46,0,43,2,0,1,12.05,307.75,1
72,75,0,33,1,1,1,49.3,3417.4,0
17,35,0,66,2,0,1,5.15,79.05,1
65,72,0,12,2,0,1,29.6,1872.8,0
15,30,1,90,2,0,5,7.35,125.8,1
34,33,0,35,3,1,1,7.5,258.4,0
26,43,0,51,5,1,1,7.9,267.6,0
36,45,0,117,3,1,1,10.5,429.1,1
60,48,0,100,2,1,1,24.4,1567.6,0
16,54,0,147,1,0,4,6.95,98.5,0
1,33,0,53,4,1,1,1.95,1.95,0
56,30,1,57,5,0,4,16.85,948.3,1
6,50,0,37,2,0,1,5.35,38.4,1
48,34,0,42,3,1,1,14.15,678.3,0
34,36,1,50,1,0,2,10.2,326.8,0
54,42,1,55,4,0,5,14.3,695.2,1
38,31,1,42,2,1,4,10.8,407.55,0
25,55,0,37,1,1,1,10.95,302.8,0
47,69,1,228,3,1,4,10.8,464.35,1
72,62,1,163,5,0,2,28.35,2017.6,0
6,35,1,28,4,1,3,3.25,9.35,0
30,51,1,118,5,1,2,6.4,201.4,0
65,70,1,115,2,1,2,26.85,1749.6,1
22,44,1,37,4,0,2,14.3,332.9,0
60,53,0,93,1,0,1,13.35,806.35,0
19,32,0,71,4,1,1,5.25,97.4,1
18,25,0,26,2,1,3,3.3,50.35,0
9,37,1,14,4,1,6,2.4,22.6,0
1,34,1,18,1,1,2,1.6,1.6,0
10,28,1,36,4,1,3,6.3,67.5,1
45,34,1,43,4,0,4,6.55,315.2,1
25,28,1,41,4,1,4,5.8,138.85,1
66,39,0,66,2,1,1,11.6,785.7,0
27,67,0,33,4,1,1,3.6,136.9,0
19,41,0,53,4,0,1,6.45,157.3,0
17,41,1,28,4,0,6,1.8,27.1,0
16,36,0,58,4,0,1,4.85,89.95,1
8,42,1,129,4,1,3,6.1,63.8,1
3,25,0,65,4,1,1,3.3,5.9,1
59,57,0,311,3,1,1,28.75,1719.2,0
45,37,0,57,3,1,1,10.8,508.8,1
66,62,0,47,2,1,1,34.25,2298.25,0
28,50,1,25,1,0,2,14.85,378.85,0
15,38,1,46,5,0,3,3.85,56.3,0
39,34,1,51,3,1,4,7.9,304.45,0
38,33,0,19,2,1,2,8.5,323.85,0
34,29,0,26,3,1,2,6.75,195.2,1
60,57,1,72,5,0,2,20.35,1263.9,1
72,65,1,71,1,1,4,53.65,4036.9,0
42,42,1,41,2,0,8,15,597.2,0
32,37,0,44,2,0,1,11.25,359.35,1
48,50,1,208,4,1,2,12.9,652.9,1
63,37,1,45,4,1,6,14.95,974.15,1
45,27,1,39,3,0,4,13.45,583.9,0
68,42,0,89,4,0,1,25.6,1759.6,1
6,29,1,19,2,1,2,4.2,25.25,0
68,57,1,15,2,1,2,16.1,1120.35,1
72,68,1,59,2,1,2,58.65,4219.1,0
53,38,1,20,3,1,4,12.05,547.05,1
20,51,1,27,4,0,3,9.05,182.95,1
70,35,1,48,2,0,3,43.6,3040.8,0
32,47,0,135,2,1,1,10.5,353,0
61,52,1,19,1,0,2,18.2,1037.65,0
24,25,1,28,4,0,3,10.6,267.3,1
56,61,1,12,1,1,2,16.85,881.65,0
54,59,0,28,2,0,1,10.7,638.55,0
43,38,1,18,3,1,3,9.4,411.15,0
19,35,0,58,3,1,1,3.65,65.15,0
5,43,0,72,3,1,1,5.55,23.9,0
24,61,1,112,4,1,4,8.2,210.25,1
62,35,1,28,2,1,2,18.45,1152.7,0
14,40,0,398,5,1,1,6.4,71,1
60,48,1,106,3,1,3,13.05,760.95,0
30,74,1,10,1,1,2,7.25,225.3,0
40,42,1,108,3,0,4,4.95,205.65,1
42,50,1,85,2,1,4,14.3,567.95,0
20,34,0,51,3,1,1,5.65,126.4,0
4,22,1,22,2,1,3,2.25,8,0
44,49,1,66,2,1,4,4.25,184.9,0
49,63,0,10,2,0,1,13.9,668.95,0
5,36,1,34,1,1,2,3.5,14.2,0
70,50,1,67,1,0,4,51.9,3438.4,0
30,57,1,19,1,0,4,7.25,200.1,0
28,48,0,128,4,1,1,10,313.05,1
5,28,1,39,5,0,6,4.7,30.75,0
27,35,0,56,1,1,1,8.25,202.55,1
17,39,0,45,4,1,1,8.65,133.1,1
4,37,1,25,1,1,5,2.5,9.15,0
30,23,1,24,2,1,4,13.35,397.4,0
71,40,1,53,4,1,2,10.15,781.7,0
67,77,0,49,1,1,1,25.35,1692,0
24,48,1,38,1,1,2,5.55,133.4,0
24,54,1,84,3,1,2,11.45,288.05,1
59,54,0,126,1,1,1,13.6,796.4,0
59,32,0,73,4,0,1,29.2,1726.6,1
44,37,1,41,4,1,6,9.15,387.95,1
19,31,1,22,4,0,3,4.85,88.9,0
58,46,1,23,1,1,2,11.1,620.75,0
41,53,1,94,2,0,2,12.65,488.15,0
16,33,0,30,3,0,4,9.25,138.5,0
13,36,0,31,2,0,1,2.3,30.5,0
60,53,0,171,1,1,1,9.9,608.65,0
72,49,1,102,1,1,6,41.15,3098.55,0
33,39,0,27,4,1,1,9.7,294.8,1
72,45,1,98,4,1,2,30.25,2182.65,0
66,54,1,591,4,1,2,25,1636.25,0
53,37,1,25,1,1,6,5.4,291.5,0
22,28,1,36,4,0,4,9.7,220.75,1
14,26,1,25,2,1,3,4.4,71.2,0
52,49,0,69,2,1,2,18.35,893.25,0
33,30,1,22,1,0,2,5.55,211.05,0
72,66,0,67,2,1,1,39.1,2743.65,0
40,40,1,73,4,1,4,10,376.6,0
29,26,0,22,4,1,1,6.1,175.3,1
63,67,0,9,2,0,1,18.05,1140.2,0
56,54,0,147,3,1,1,12.7,763.1,1
60,50,1,239,2,1,2,21.5,1377,0
28,22,1,23,3,0,5,10.95,263.95,1
39,39,0,29,4,0,1,5.95,227.85,0
65,39,1,32,2,0,4,21.1,1432.8,0
29,31,0,30,3,1,1,7.6,240.85,0
28,36,0,57,2,1,2,9.6,272.85,0
2,18,0,20,2,0,1,3.75,4.45,0
67,52,0,248,2,1,3,35.85,2368.9,0
5,35,1,59,3,1,5,3.1,21.45,1
48,35,0,24,2,0,1,16.95,874.45,0
10,26,1,25,1,1,3,3.7,38.2,0
17,28,0,37,3,1,1,5.5,84.25,0
21,24,1,30,4,1,5,17.8,374.05,1
25,51,0,66,4,0,2,6.45,140.85,1
44,31,0,16,1,0,1,14.4,632.95,0
59,49,0,429,4,1,2,10.2,592.2,1
11,26,0,20,2,0,1,6.95,84.05,0
50,68,1,262,3,0,2,12.4,601.1,1
23,25,1,28,3,1,5,4.15,94.25,0
17,19,0,18,2,1,2,7.1,120.35,1
15,62,1,144,3,0,2,5.25,81.05,0
68,57,1,33,1,1,2,13.5,901,0
69,42,1,19,3,1,2,25.95,1812.15,1
30,24,1,30,1,1,5,6.75,171.75,0
22,30,0,41,2,0,1,6.1,119.95,0
10,20,1,20,2,1,4,5.9,48.95,0
72,59,1,65,3,1,6,34.65,2519.3,0
34,24,1,17,4,1,2,15.25,522.45,0
43,49,1,66,1,0,4,8.6,376.7,0
31,37,1,18,4,0,3,5.2,151.7,1
6,27,1,26,4,0,5,5.6,30.35,0
48,42,0,46,4,0,1,14.45,618.1,0
50,25,0,19,1,0,3,7.25,356.15,0
20,41,1,58,2,1,2,5.25,98.2,0
61,73,0,25,1,0,1,16.65,965.6,0
6,21,0,15,2,1,1,3.65,19.4,0
1,22,0,35,2,0,1,1.65,1.65,1
21,43,0,41,2,1,1,6.15,118.15,1
7,32,0,71,4,0,2,3.6,19.1,1
65,56,1,608,3,1,2,14.55,964.85,0
64,37,0,44,4,1,1,16.15,965.3,1
4,30,0,41,2,0,2,2,9.9,0
67,45,1,83,3,1,2,27,1724.8,1
22,35,0,28,2,0,2,6.6,180.55,0
51,37,1,101,2,1,2,14.95,736.85,0
50,28,0,28,1,1,1,6.4,330.95,0
31,47,1,35,2,0,2,11.95,390.6,0
4,28,0,39,2,1,1,7.1,23.8,0
60,56,0,51,4,0,1,15.25,873.7,1
7,31,1,31,2,1,6,5.05,38.05,1
20,40,0,209,4,1,1,7.2,172.1,1
19,23,1,37,3,1,4,8.4,136.05,0
58,37,1,64,4,1,2,10.8,634.75,1
65,64,0,88,3,1,1,15.1,1017.9,1
72,61,1,61,1,0,3,27.35,1980.15,0
8,42,0,66,3,0,1,1.95,16.85,1
33,40,1,19,3,0,2,5.05,178.9,0
18,34,1,42,2,1,5,6.45,104.05,0
24,31,1,41,2,0,5,8.5,196.8,0
70,36,0,50,1,1,1,20.55,1407.15,0
7,38,0,70,4,0,1,3.85,26.65,1
70,59,0,85,1,1,1,38.9,2711,0
20,48,1,45,3,1,2,10.7,192.15,0
54,32,1,27,1,0,2,33.95,1801.3,0
36,48,0,29,1,0,1,6,222.8,0
71,53,1,48,4,1,2,34.95,2506.05,0
17,41,0,32,2,0,1,12.6,208,0
18,45,1,43,1,0,3,4.45,78.65,0
16,27,0,16,5,1,1,5.45,102.75,1
38,30,1,22,2,1,2,5.6,215.05,1
52,45,1,40,3,1,3,8.45,512.65,1
46,48,1,256,3,0,6,13.8,612.55,0
31,46,0,144,4,0,1,7.6,271.55,1
23,31,0,45,4,0,2,5,119.5,1
38,56,1,34,2,1,3,7.8,272.75,0
50,54,0,248,3,1,1,11.05,497.9,0
16,49,0,41,2,0,1,4.1,62.45,0
14,34,1,27,4,1,2,6.05,90.2,1
30,52,0,17,3,1,1,10.3,367.4,0
22,47,1,44,4,1,3,9,194.55,1
38,55,1,135,2,0,4,12.15,467.75,1
59,26,1,41,4,1,3,12.65,804,0
54,55,0,587,3,0,1,13,650.85,0
9,40,0,38,4,1,1,3.35,37.7,1
67,67,1,49,2,1,2,14.3,924.55,1
24,44,0,33,3,1,2,4.65,100.95,1
12,55,1,36,1,1,2,5.95,73.35,0
26,47,0,54,3,0,1,7.1,205.4,1
3,32,0,58,2,0,4,2.75,5.7,1
20,46,0,23,5,1,2,4.75,82.3,1
5,52,1,97,5,0,2,3.1,12.9,0
58,53,0,207,3,1,1,7.3,447.15,1
54,28,1,21,3,0,4,10.4,567.55,0
52,39,0,119,3,1,1,10.5,556.5,1
38,30,1,25,1,1,4,3.95,179.75,0
19,46,0,59,3,0,1,5.6,97.25,0
22,33,1,24,1,0,4,7.1,153.4,1
49,35,1,113,4,0,5,16.1,818.45,1
5,39,0,22,1,1,2,4.7,32.95,0
18,69,0,11,1,0,1,3.85,62.75,0
43,29,0,33,1,1,4,22.05,1042.95,0
17,50,0,205,5,0,1,6.95,121.45,1
37,33,0,41,3,1,3,9.2,347.1,1
8,39,0,39,1,1,1,3.15,29.05,0
51,46,1,107,2,1,6,17.3,840,0
71,55,1,198,1,1,3,17.8,1218,0
56,53,1,100,5,1,2,14.15,752.9,1
70,68,0,1131,2,0,1,14.85,1104.4,0
62,53,0,360,3,1,2,31.9,1892.85,0
50,52,1,162,2,1,2,12.85,599.05,1
1,31,0,29,5,1,3,1.45,1.45,1
15,26,0,38,4,0,2,7.4,91.7,1
72,55,1,82,3,1,2,62.3,4333,1
69,47,1,159,2,0,4,25.2,1714.7,0
32,44,0,201,2,0,1,7.65,237.85,0
19,25,1,27,4,1,2,9.55,172.55,0
42,54,0,57,3,1,1,8.7,356.45,1
51,49,0,45,1,0,1,15.7,815.05,0
32,22,1,17,2,1,4,4.8,157.25,0
26,55,1,61,1,0,2,4.25,102.45,0
39,44,1,418,4,0,2,7.05,269,0
72,53,0,152,2,1,1,43.25,3115,0
4,39,0,38,4,0,2,2.8,9.35,0
54,50,1,151,4,0,3,21.95,1248.25,0
34,40,1,23,4,1,3,5.95,207.7,1
20,25,1,33,4,1,3,4.55,115.65,1
14,49,0,26,1,0,1,6.5,86.7,0
61,59,0,89,1,1,1,17.35,988.8,0
4,24,0,25,4,0,1,3.75,12.4,0
16,48,0,59,2,0,2,7.85,104.9,0
13,41,0,55,2,1,3,4.85,55.65,1
53,37,1,25,3,1,2,9.95,558.15,1
58,36,1,39,2,1,7,16.4,933.1,1
25,38,1,56,1,1,2,10.55,290.25,0
71,61,1,155,3,0,2,23.9,1684.05,0
22,33,1,119,5,1,4,4.3,88.5,1
46,48,1,64,3,0,2,10.2,393.55,1
66,50,1,333,5,0,2,10.3,659.55,0
69,58,1,26,2,1,3,32.65,2321.8,0
38,49,1,33,4,0,4,6.85,285.55,1
16,35,0,46,3,0,1,5.1,74.1,1
44,39,1,41,2,0,4,7.55,353.3,1
50,50,0,31,1,0,1,11.95,540.5,0
10,23,0,29,4,1,1,4.95,62.1,1
7,41,0,94,2,0,1,3.85,27.95,1
71,48,0,288,3,0,1,30.9,2123.6,0
16,39,1,31,1,1,5,5,69.6,0
6,20,0,25,2,1,2,1.9,19.3,0
46,55,0,269,2,0,1,10.1,449.7,0
51,49,1,203,3,0,4,17.6,961.9,0
5,34,0,22,2,0,2,3.6,16.1,1
49,54,1,25,2,1,4,14.65,719.5,0
49,51,1,222,5,0,2,12.25,575.6,1
26,30,1,76,3,0,2,9.45,214.7,1
22,39,0,55,2,1,1,5.4,81.55,1
51,45,1,46,3,0,2,20.7,1082.4,0
19,27,1,56,4,0,4,4.75,97.85,1
9,36,0,79,3,1,5,5.8,44.55,0
15,25,1,51,3,1,2,3.15,45.35,0
57,63,0,61,1,0,1,12.7,767.75,0
48,45,0,41,1,1,2,10.2,445.7,0
9,53,1,50,2,1,2,3.1,22,1
61,52,0,82,1,0,1,12.1,751.75,0
72,53,0,108,1,0,1,32.55,2361.35,0
57,60,0,14,2,1,1,16.1,938.65,0
57,51,0,46,1,0,1,15.1,901.05,0
37,60,1,46,1,0,3,8.8,293.65,0
45,51,0,146,4,0,2,20.25,869.75,1
45,39,1,36,1,1,5,15.2,736.75,0
55,44,0,83,1,1,1,17.35,973.1,0
24,27,0,17,3,0,5,5.2,89,0
1,20,0,18,3,0,1,4.2,4.2,1
34,23,1,24,1,1,4,6,203.25,0
14,37,1,48,3,1,4,4.9,78.2,0
6,32,0,47,1,0,1,3.85,29.9,0
24,30,0,25,4,0,2,8.7,186.6,1
3,26,1,59,4,1,3,2.55,2.7,0
4,30,0,45,4,0,3,3.65,8.85,1
72,40,1,163,4,0,2,39,2914,1
44,56,0,63,2,1,1,7.5,342.2,0
50,43,0,27,3,0,1,15,817.85,0
61,50,1,190,2,1,2,16.85,1063.15,1
34,52,1,106,2,0,2,4.95,153.5,0
26,54,1,26,3,1,2,5.2,149.2,1
15,46,1,63,5,0,2,3.7,40.55,1
10,39,0,27,3,1,3,3,32.25,1
7,34,0,22,5,1,1,4.65,29.35,0
67,59,0,944,5,1,1,26.75,1837.55,1
70,49,0,87,2,1,1,25.6,1841.85,0
50,36,1,39,3,1,3,13.15,665.4,1
